path	extension	pdb_md5	local_md5	status
sdnet/demonware/sdnetteammanager_demonware.cpp	.cpp	72EF397AF39DF333552542C78F52B2AF		missing
sdnet/demonware/sdnetteammanager_demonware.h	.h	DB667575743E7CE9A013AD0CD4044BA6		missing
sdnet/demonware/sdnetteammember_demonware.cpp	.cpp	E93311FE6D2DA40D77EF714AD87804CE		missing
sdnet/demonware/sdnetuser_demonware.h	.h	0FADD8433EDABEBD653908C22BC50AC5		missing
sdnet/demonware/sessioninfo.cpp	.cpp	4CCB78A8BF1D565DF0A4F3497398B3F8		missing
sdnet/demonware/sessioninfo.h	.h	F73D2DEDF670808C2EC79200F2FAB5E1		missing
sdnet/demonware/sessionqueries.cpp	.cpp	454AECCAFF50ECE847BB13D6F9C90C51		missing
sdnet/demonware/sessionqueries.h	.h	89FC937AC937A6F3E2D35BE20888CA98		missing
sdnet/sdnet.cpp	.cpp	82FFA9B29AF94F0E75EBB7EF53A07199	DD52A97DFA7DBA4610DCB7578675CBCF	different
sdnet/sdnet.h	.h	3FC4682E116071973AB5AED8D02AA2B0	5A50231ED0FEF09F8D0156BC43D28457	different
sdnet/sdnet_local.h	.h	ADBE477551E7388BBA4E293F791BE7E0		missing
sdnet/sdnetaccount.h	.h	E7999B8FEA9DBCC144DB4A04633CD236	E7999B8FEA9DBCC144DB4A04633CD236	exact
sdnet/sdnetaccount_anonymous.cpp	.cpp	6D0989AAD6144AF4D41A5DF34147EFD3		missing
sdnet/sdnetaccount_anonymous.h	.h	CBA65FC9D2C315E6120A0ED240DFFBA2		missing
sdnet/sdnetaccount_anonymous_local.h	.h	26CFBA05C65242B4F2388A409FB87268		missing
sdnet/sdnetaccount_auth.cpp	.cpp	1F3D60A013991B255FE436A4FD247F3E		missing
sdnet/sdnetaccount_local.h	.h	DF924B867D82193127D12753AA1CE787		missing
sdnet/sdneterrorcode.h	.h	F20BF18FE4A848417210A7B29FFB4E52	F20BF18FE4A848417210A7B29FFB4E52	exact
sdnet/sdnetfriend.h	.h	78A3142C932B797BC0524B55FFAD8B83	B8C6F01E72996A34512EB7B00E1B15CF	different
sdnet/sdnetfriendsmanager.cpp	.cpp	D12CDD52F6C1BE35A49BA1860F13AD13		missing
sdnet/sdnetfriendsmanager_local.h	.h	16068398A8D1668C10736AF0C92C3F76		missing
sdnet/sdnetmessage.cpp	.cpp	78EE4B3EEAB226CB1EDC6B843B44B357		missing
sdnet/sdnetmessage.h	.h	425CB98048895691EC65AA2432DBEF11	425CB98048895691EC65AA2432DBEF11	exact
sdnet/sdnetmessage_local.h	.h	880CDE501DA94D9E356E6939E35F7070		missing
sdnet/sdnetmessagehistory.cpp	.cpp	D4EBDCDACBCD179881AA9417B3F74F35		missing
sdnet/sdnetmessagehistory.h	.h	F96BA3F677EF17D028A703504B970CA1	F96BA3F677EF17D028A703504B970CA1	exact
sdnet/sdnetprofile.h	.h	7ED91B8BE02E2DDC052DB812E43417B4	7ED91B8BE02E2DDC052DB812E43417B4	exact
